,predicted_mean
442,227.307653674377
443,227.4308436334975
444,227.39021865884692
445,227.4507229057711
446,227.17802481414014
447,227.1500753307183
448,227.14229793311844
449,227.1573184565095
450,227.1406850966555
451,227.1624780582585
452,227.16658919993586
453,227.1681051114833
454,227.16525807415763
455,227.16743952526033
456,227.16589261269004
457,227.16547173616993
458,227.16514836669694
459,227.16554874721464
460,227.1653304861101
461,227.16542805245916
462,227.16545442782314
463,227.16550882628326
464,227.16546229635313
465,227.16548046456558
466,227.165474414686
467,227.1654749233351
468,227.165467391218
469,227.16547206295124
470,227.16547074486056
471,227.165471269407
