,predicted_mean
442,227.5145122865328
443,228.06653492263356
444,228.0501734032892
445,228.2760909087122
446,228.33637267232567
447,228.33844785046165
448,228.61075208653713
449,228.59168597197282
450,228.88138499312456
451,229.2314865901792
452,229.26422656134375
453,229.5633285096073
454,229.54452165596405
455,229.82810997615084
456,230.15044495645031
457,230.18024704133316
458,230.47678159506506
459,230.45794990253984
460,230.7421236674981
461,231.0671188697063
462,231.09720242314253
463,231.39398294991614
464,231.37515363711685
465,231.65927131267034
466,231.98401164837222
467,232.01406823529618
468,232.31082519625764
469,232.29199565546517
470,232.5761187047473
471,232.9008834583129
